,Nuclear,Wind,Solar,Grid,TotalGEN,Demand,Hydrogen,M_Electrolyzer,P_Electrolyzer,SOP,Battery Power,Battery Charge,SOC
0,308000.0,45600.0,0.0,0.0,353600.0,122275.36745330562,-0.0,622.5,622.5,150000000.0,0.0,0.0,40000.0
1,308000.0,47500.0,0.0,-0.0,355500.0,118666.94254401799,0.0,622.5,622.5,150001925.3925,0.0,10000.0,49000.0
2,308000.0,48715.99999999999,0.0,-7.27595761418343e-12,356716.0,123225.16873794237,0.0,622.5,622.5,150003850.785,0.0,5789.47368421053,54210.5263157895
3,308000.0,49324.0,0.0,-7.27595761418343e-12,357324.0,123043.6815284463,0.0,622.5,622.5,150005776.1775,0.0,3047.09141274238,56952.9085872576
4,308000.0,50387.99999999999,0.0,7.95807864051312e-12,358388.0,122113.83290388966,0.0,622.5,622.5,150007701.57,0.0,1603.73232249599,58396.267677504
5,308000.0,51300.0,0.0,-2.27373675443232e-12,359300.0,122696.83323198472,0.0,622.5,622.5,150009626.9625,0.0,844.069643418943,59155.9303565811
6,308000.0,49020.0,3753.0299999999997,1.19371179607697e-12,360773.03,125705.31171831471,0.0,622.5,622.5,150011552.355,-6.54836185276508e-12,444.247180746811,59555.7528192532
7,308000.0,45980.0,10883.786999999998,3.63797880709171e-12,364863.787,164935.52132519626,0.0,622.5,622.5,150013477.7475,-6.54836185276508e-12,233.814305656215,59766.1856943438
8,308000.0,52440.0,17889.443000000003,0.0,378329.443,285602.3763871098,0.0,622.5,622.5,150015403.14,0.0,123.060160871693,59876.9398391283
9,308000.0,57152.0,24644.896999999997,0.0,389796.897,343351.66111357795,0.0,578.243186785954,578.243186785954,150017191.646177,0.0,0.0,59876.9398391283
10,308000.0,59660.0,25645.704999999998,0.0,393305.705,349144.4923154748,0.0,549.807097922339,549.807097922339,150018892.199531,0.0,0.0,59876.9398391283
11,308000.0,61407.99999999999,22893.483,0.0,392301.483,363794.9379723998,0.0,354.906485593622,354.906485593622,150019989.925291,0.0,0.0,59876.9398391283
12,308000.0,62168.0,17889.443000000003,0.0,388057.443,337387.1823701698,0.0,622.5,622.5,150021915.317791,0.0,64.7685057219439,59935.2314942781
13,308000.0,60115.99999999999,10633.585000000001,0.0,378749.585,331553.07922755927,0.0,587.596496866887,587.596496866887,150023732.753756,0.0,0.0,59935.2314942781
14,308000.0,56544.00000000001,1501.212,0.0,366045.212,363774.98531231965,0.0,28.2643222616204,28.2643222616204,150023820.175304,0.0,0.0,59935.2314942781
15,308000.0,53428.0,0.0,0.0,361428.0,358909.5428179833,0.0,31.3547919161078,31.3547919161078,150023917.155676,0.0,0.0,59935.2314942781
16,308000.0,50995.99999999999,0.0,0.0,358996.0,345481.9492322711,0.0,168.249932058225,168.249932058225,150024437.552716,0.0,0.0,59935.2314942781
17,308000.0,47196.0,0.0,0.0,355196.0,321324.4710333258,0.0,421.700535635093,421.700535635093,150025741.872472,0.0,0.0,59935.2314942781
18,308000.0,44156.0,0.0,-0.0,352156.0,242422.36005669282,0.0,622.5,622.5,150027667.264972,-6.54836185276508e-12,34.0886872220726,59965.9113127779
19,308000.0,43472.00000000001,0.0,-1.03383968053095e-11,351472.0,177297.42420334046,0.0,622.5,622.5,150029592.657472,0.0,17.9414143274086,59982.0585856726
20,308000.0,40584.0,0.0,-0.0,348584.0,158164.46313115125,0.0,622.5,622.5,150031518.049972,0.0,9.44284964600229,59990.557150354
21,308000.0,38304.0,0.0,1.11057829599304e-11,346304.0,151041.63680665233,0.0,622.5,622.5,150033443.442472,6.54836185276508e-12,4.96992086631891,59995.0300791337
22,308000.0,34883.99999999999,0.0,1.09139364212751e-11,342884.0,144856.8588300306,0.0,622.5,622.5,150035368.834972,6.54836185276508e-12,2.61574782438038,59997.3842521756
23,308000.0,34047.99999999999,0.0,-1.09139364212751e-11,342048.0,141470.91974684206,0.0,622.5,622.5,150037294.227472,-6.54836185276508e-12,1.37670938125302,59998.6232906188
24,308000.0,29032.0,0.0,-4.78672657067136e-12,337032.0,120614.26791823255,0.0,622.5,622.5,150039219.619972,6.54836185276508e-12,0.724583884870969,59999.2754161151
25,308000.0,23940.0,0.0,1.14885878588211e-12,331940.0,117054.86312692946,0.0,622.5,622.5,150041145.012472,-6.54836185276508e-12,0.381359939406378,59999.6186400606
26,308000.0,22420.0,0.0,-7.27595761418343e-12,330420.0,121551.16624043965,0.0,622.5,622.5,150043070.404972,-6.54836185276508e-12,0.200715757579019,59999.7992842424
27,308000.0,21128.0,0.0,8.80774619904656e-12,329128.0,121372.14451786538,0.0,622.5,622.5,150044995.797472,0.0,0.105639872411925,59999.8943601276
28,308000.0,20216.0,0.0,-3.63797880709171e-12,328216.0,120454.92780070032,0.0,622.5,622.5,150046921.189972,0.0,0.0555999328462349,59999.9444000672
29,308000.0,19076.0,0.0,-8.61626395232129e-12,327076.0,121030.00812336733,0.0,622.5,622.5,150048846.582472,0.0,0.0292631225516073,59999.9707368774
30,308000.0,14060.0,6505.252,7.27595761418343e-12,328565.252,123997.61670826907,0.0,622.5,622.5,150050771.974972,-6.54836185276508e-12,0.0154016434462392,59999.9845983566
31,308000.0,11856.0,20016.16,-6.51006679119881e-12,339872.16,162694.88755327204,0.0,622.5,622.5,150052697.367472,0.0,0.00810612813151429,59999.9918938719
32,308000.0,9272.0,31775.654,0.0,349047.654,281722.4945718819,0.0,622.5,622.5,150054622.759972,0.0,0.00426638322460349,59999.9957336168
