Time,Demand,Date
00:00,5367.49,30.11
01:00,5295.56,
02:00,5339.65,
03:00,5396.27,
04:00,5465.55,
05:00,5433.41,
06:00,5439.89,
07:00,6982.65,
08:00,12102.15,
09:00,14990.75,
10:00,15198.81,
11:00,15681.52,
12:00,13390.11,
13:00,11745.24,
14:00,15091.36,
15:00,14996.09,
16:00,14320.81,
17:00,13406.46,
18:00,9929.08,
19:00,7039.85,
20:00,6342,
21:00,6073.44,
22:00,5843.64,
23:00,5592.07,
