HR,Demand,Date
00:00,4473.64,28.08
01:00,4341.62,
02:00,4508.39,
03:00,4501.75,
04:00,4467.73,
05:00,4489.06,
06:00,4599.13,
07:00,6034.43,
08:00,10449.22,
09:00,12562.07,
10:00,12774.01,
11:00,13310.02,
12:00,12343.85,
13:00,12130.4,
14:00,13309.29,
15:00,13131.28,
16:00,12640.01,
17:00,11756.17,
18:00,8869.41,
19:00,6486.71,
20:00,5786.7,
21:00,5526.1,
22:00,5299.82,
23:00,5175.94,
